id,project_a,project_b,weight_a,weight_b,size_a,size_b,forks_count_a,forks_count_b,stars_count_a,stars_count_b,open_issues_count_a,open_issues_count_b,subscribers_count_a,subscribers_count_b,watchers_count_a,watchers_count_b,age_days_a,age_days_b,days_since_update_a,days_since_update_b,releases_count_a,releases_count_b,pull_requests_count_a,pull_requests_count_b,contributors_count_a,contributors_count_b,deployments_count_a,deployments_count_b,grade_active_a,grade_active_b,grade_code_a,grade_code_b,grade_compl_a,grade_compl_b,grade_Eth_a,grade_Eth_b,grade_fund_a,grade_fund_b,grade_market_a,grade_market_b,grade_perspect_a,grade_perspect_b,languages_score_a,languages_score_b
17,https://github.com/prysmaticlabs/prysm,https://github.com/nomicfoundation/hardhat,0.68306836544,0.31693163456,166982,193759,1063,1479,3511,7481,303,534,128,76,3511,7481,2582,2489,0,0,30,30,30,30,30,30,0,30,75,55,75,75,70,75,85,85,1,25,45,25,75,75,51,74
19,https://github.com/prysmaticlabs/prysm,https://github.com/prettier-solidity/prettier-plugin-solidity,0.94121853588,0.05878146412,166982,4658,1063,75,3511,731,303,12,128,12,3511,731,2582,2458,0,2,30,30,30,30,30,21,0,0,75,30,75,70,70,10,85,70,1,1,45,1,75,70,51,72
20,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/solidity,0.9999562421,4.37579e-05,166982,78615,1063,5960,3511,23829,303,551,128,733,3511,23829,2582,3460,0,0,30,30,30,30,30,30,0,0,75,85,75,85,70,75,85,85,1,75,45,75,75,75,51,53
21,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/remix-project,0.9999562421,4.37579e-05,166982,251423,1063,1082,3511,2574,303,826,128,68,3511,2574,2582,1784,0,0,30,30,30,30,30,30,0,30,75,10,75,65,70,45,85,75,1,1,45,25,75,75,51,53
22,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/go-ethereum,0.7649580757,0.2350419243,166982,216618,1063,20515,3511,48264,303,283,128,2208,3511,48264,2582,4059,0,0,30,30,30,30,30,30,0,30,75,100,75,85,70,77,85,95,1,100,45,100,75,90,51,49
24,https://github.com/prysmaticlabs/prysm,https://github.com/bluealloy/revm,0.9991800254,0.0008199746,166982,35704,1063,616,3511,1748,303,69,128,29,3511,1748,2582,1226,0,0,30,30,30,30,30,30,0,30,75,10,75,35,70,1,85,60,1,1,45,1,75,30,51,75
25,https://github.com/prysmaticlabs/prysm,https://github.com/openzeppelin/openzeppelin-contracts,0.92951415195,0.07048584805,166982,47771,1063,11924,3511,25299,303,277,128,640,3511,25299,2582,3110,0,0,30,30,30,30,30,30,0,30,75,70,75,85,70,75,85,85,1,45,45,75,75,75,51,65
28,https://github.com/sigp/lighthouse,https://github.com/nomicfoundation/hardhat,0.65388466552,0.34611533448,132460,193759,800,1479,3056,7481,455,534,69,76,3056,7481,2407,2489,0,0,30,30,30,30,30,30,30,30,10,55,75,75,65,75,85,85,1,25,35,25,80,75,50,74
29,https://github.com/sigp/lighthouse,https://github.com/consensys/teku,0.94084263926,0.05915736074,132460,542992,800,306,3056,692,455,149,69,33,3056,692,2407,2344,0,0,30,30,30,30,30,30,30,30,10,10,75,65,65,70,85,85,1,1,35,1,80,70,50,50
35,https://github.com/sigp/lighthouse,https://github.com/bluealloy/revm,0.7781466545,0.2218533455,132460,35704,800,616,3056,1748,455,69,69,29,3056,1748,2407,1226,0,0,30,30,30,30,30,30,30,30,10,10,75,35,65,1,85,60,1,1,35,1,80,30,50,75
36,https://github.com/sigp/lighthouse,https://github.com/openzeppelin/openzeppelin-contracts,0.66091121186,0.33908878814,132460,47771,800,11924,3056,25299,455,277,69,640,3056,25299,2407,3110,0,0,30,30,30,30,30,30,30,30,10,70,75,85,65,75,85,85,1,45,35,75,80,75,50,65
37,https://github.com/sigp/lighthouse,https://github.com/protofire/solhint,0.93131616667,0.06868383333,132460,3297,800,172,3056,1055,455,26,69,21,3056,1055,2407,2670,0,11,30,30,30,30,30,30,30,30,10,10,75,65,65,5,85,72,1,1,35,1,80,65,50,75
38,https://github.com/sigp/lighthouse,https://github.com/ipfs/js-ipfs,0.70437322525,0.29562677475,132460,55948,800,1251,3056,7439,455,0,69,224,3056,7439,2407,3905,0,3,30,30,30,30,30,30,30,30,10,10,75,65,65,70,85,75,1,1,35,20,80,75,50,50
39,https://github.com/sigp/lighthouse,https://github.com/eth-infinitism/account-abstraction,0.57870404113,0.42129595887,132460,3264,800,681,3056,1601,455,5,69,40,3056,1601,2407,1108,0,1,30,4,30,30,30,24,30,0,10,10,75,65,65,35,85,60,1,1,35,1,80,75,50,55
40,https://github.com/sigp/lighthouse,https://github.com/safe-global/safe-smart-account,0.5804717868,0.4195282132,132460,8510,800,973,3056,1924,455,15,69,48,3056,1924,2407,2714,0,0,30,16,30,30,30,30,30,0,10,10,75,75,65,30,85,75,1,1,35,1,80,75,50,80
41,https://github.com/sigp/lighthouse,https://github.com/crate-crypto/go-ipa,0.8944563407,0.1055436593,132460,360,800,14,3056,33,455,10,69,3,3056,33,2407,1211,0,58,30,0,30,30,30,3,30,15,10,10,75,35,65,5,85,60,1,1,35,1,80,40,50,78
42,https://github.com/sigp/lighthouse,https://github.com/libp2p/go-libp2p,0.3832259257,0.6167740743,132460,59206,800,1107,3056,6214,455,274,69,180,3056,6214,2407,3416,0,0,30,30,30,30,30,30,30,0,10,10,75,75,65,40,85,60,1,1,35,30,80,75,50,54
43,https://github.com/sigp/lighthouse,https://github.com/paradigmxyz/reth,0.56547080695,0.43452919305,132460,89125,800,1384,3056,4295,455,286,69,59,3056,4295,2407,874,0,0,30,30,30,30,30,30,30,30,10,10,75,65,65,65,85,60,1,1,35,1,80,65,50,53
47,https://github.com/sigp/lighthouse,https://github.com/erigontech/erigon,0.5,0.5,132460,410799,800,1187,3056,3261,455,381,69,65,3056,3261,2407,2082,0,0,30,30,30,30,30,30,30,30,10,10,75,72,65,65,85,65,1,1,35,1,80,75,50,68
48,https://github.com/sigp/lighthouse,https://github.com/grandinetech/grandine,0.5252782983,0.4747217017,132460,5584,800,34,3056,186,455,36,69,6,3056,186,2407,1318,0,0,30,6,30,30,30,9,30,0,10,10,75,1,65,1,85,65,1,1,35,1,80,10,50,50
50,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prysmaticlabs/prysm,0.29435869392,0.70564130608,94401,166982,733,1063,1495,3511,65,303,73,128,1495,3511,2355,2582,0,0,30,30,30,30,30,30,30,0,30,75,65,75,70,70,85,85,1,1,10,45,75,75,54,51
51,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethers-io/ethers.js,0.33171687205,0.66828312795,94401,157522,733,1926,1495,8094,65,570,73,103,1495,8094,2355,3127,0,0,30,30,30,30,30,1,30,30,30,75,65,75,70,60,85,85,1,75,10,75,75,75,54,59
54,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vyperlang/vyper,0.58751317499,0.41248682501,94401,12410,733,824,1495,4972,65,498,73,158,1495,4972,2355,3009,0,1,30,30,30,30,30,30,30,15,30,10,65,65,70,45,85,70,1,1,10,35,75,70,54,50
55,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/consensys/teku,0.89823233521,0.10176766479,94401,542992,733,306,1495,692,65,149,73,33,1495,692,2355,2344,0,0,30,30,30,30,30,30,30,30,30,10,65,65,70,70,85,85,1,1,10,1,75,70,54,50
56,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier-solidity/prettier-plugin-solidity,0.69208471138,0.30791528862,94401,4658,733,75,1495,731,65,12,73,12,1495,731,2355,2458,0,2,30,30,30,30,30,21,30,0,30,30,65,70,70,10,85,70,1,1,10,1,75,70,54,72
58,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/remix-project,0.9999589272,4.10728e-05,94401,251423,733,1082,1495,2574,65,826,73,68,1495,2574,2355,1784,0,0,30,30,30,30,30,30,30,30,30,10,65,65,70,45,85,75,1,1,10,25,75,75,54,53
61,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/bluealloy/revm,0.00943396226,0.99056603774,94401,35704,733,616,1495,1748,65,69,73,29,1495,1748,2355,1226,0,0,30,30,30,30,30,30,30,30,30,10,65,35,70,1,85,60,1,1,10,1,75,30,54,75
62,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/jedisct1/go-minisign,0.00188679245,0.99811320755,94401,83,733,12,1495,113,65,1,73,5,1495,113,2355,2580,0,45,30,0,30,9,30,3,30,0,30,10,65,75,70,15,85,50,1,1,10,1,75,65,54,51
63,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/level/levelup,0.01098901099,0.98901098901,94401,5894,733,267,1495,4085,65,0,73,91,1495,4085,2355,4559,0,24,30,23,30,30,30,30,30,0,30,10,65,65,70,1,85,45,1,1,10,1,75,60,54,54
65,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier/prettier,0.00010790979,0.99989209021,94401,145254,733,4457,1495,49899,65,1441,73,419,1495,49899,2355,2990,0,0,30,30,30,30,30,30,30,30,30,80,65,85,70,65,85,40,1,1,10,1,75,80,54,69
66,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sheetjs/js-crc32,0.02631578947,0.97368421053,94401,22367,733,37,1495,345,65,2,73,10,1495,345,2355,3887,0,26,30,0,30,6,30,6,30,13,30,10,65,55,70,5,85,25,1,1,10,1,75,20,54,51
67,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pion/webrtc,0.0027700831,0.9972299169,94401,5361,733,1684,1495,14230,65,92,73,260,1495,14230,2355,2455,0,0,30,30,30,30,30,30,30,0,30,75,65,75,70,70,85,45,1,1,10,1,75,75,54,45
69,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/postcss/postcss,0.00106269926,0.99893730074,94401,10792,733,1570,1495,28628,65,24,73,505,1495,28628,2355,4152,0,0,30,30,30,30,30,30,30,20,30,70,65,65,70,25,85,25,1,1,10,1,75,70,54,48
72,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/babel/babel,1.38e-05,0.9999862,94401,122509,733,5663,1495,43393,65,790,73,804,1495,43393,2355,3783,0,0,30,30,30,30,30,30,30,30,30,77,65,75,70,75,85,30,1,50,10,1,75,85,54,73
73,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vuejs/vue,5.14e-05,0.9999486,94401,32152,733,33722,1495,208312,65,602,73,5853,1495,208312,2355,4210,0,0,30,30,30,30,30,30,30,0,30,77,65,75,70,70,85,20,1,1,10,77,75,75,54,80
75,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ajv-validator/ajv,0.00041373604,0.99958626396,94401,37489,733,887,1495,14030,65,285,73,112,1495,14030,2355,3550,0,0,30,30,30,30,30,30,30,30,30,10,65,70,70,55,85,75,1,1,10,1,75,75,54,50
76,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/cssnano/cssnano,0.0015128593,0.9984871407,94401,33702,733,319,1495,4828,65,97,73,50,1495,4828,2355,3585,0,1,30,30,30,30,30,30,30,30,30,30,65,75,70,30,85,15,1,1,10,1,75,60,54,54
78,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/mochajs/mocha,0.00021463833,0.99978536167,94401,26733,733,3014,1495,22698,65,198,73,397,1495,22698,2355,5084,0,0,30,30,30,30,30,30,30,30,30,65,65,77,70,45,85,15,1,1,10,1,75,75,54,54
79,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/go-task/slim-sprig,0.00366300366,0.99633699634,94401,543,733,15,1495,64,65,9,73,4,1495,64,2355,2055,0,10,30,0,30,8,30,30,30,11,30,10,65,55,70,15,85,50,1,1,10,1,75,35,54,75
80,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/tokio-rs/tokio,5.11e-05,0.9999489,94401,14215,733,2549,1495,27833,65,329,73,314,1495,27833,2355,3071,0,0,30,30,30,30,30,30,30,30,30,75,65,75,70,65,85,75,1,65,10,70,75,75,54,72
82,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/facebook/react,0.01315789474,0.98684210526,94401,715683,733,47498,1495,232033,65,962,73,6636,1495,232033,2355,4275,0,0,30,30,30,30,30,30,30,30,30,85,65,85,70,85,85,25,1,100,10,85,75,85,54,75
83,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/node-fetch/node-fetch,0.00609756098,0.99390243902,94401,1268,733,1037,1495,8824,65,211,73,89,1495,8824,2355,3664,0,0,30,30,30,30,30,30,30,0,30,20,65,65,70,30,85,25,1,1,10,3,75,70,54,50
84,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/import-js/eslint-plugin-import,0.0027700831,0.9972299169,94401,4281,733,1576,1495,5630,65,577,73,37,1495,5630,2355,3616,0,0,30,30,30,30,30,30,30,0,30,10,65,75,70,25,85,70,1,1,10,1,75,65,54,44
85,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/chzyer/readline,0.1,0.9,94401,3576,733,281,1495,2109,65,108,73,41,1495,2109,2355,3426,0,15,30,6,30,30,30,30,30,0,30,30,65,68,70,40,85,45,1,1,10,1,75,65,54,50
86,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pnpm/cmd-shim,0.00038211693,0.99961788307,94401,805,733,11,1495,14,65,7,73,5,1495,14,2355,3111,0,597,30,0,30,30,30,13,30,0,30,10,65,65,70,15,85,10,1,1,10,1,75,35,54,50
87,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/electron/electron,0.00111111111,0.99888888889,94401,162499,733,15789,1495,115362,65,969,73,2826,1495,115362,2355,4318,0,0,30,30,30,30,30,30,30,30,30,70,65,75,70,70,85,25,1,1,10,7,75,85,54,50
90,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/browserslist/browserslist,0.00100401606,0.99899598394,94401,4371,733,720,1495,13140,65,42,73,140,1495,13140,2355,3707,0,0,30,9,30,30,30,30,30,4,30,65,65,75,70,25,85,65,1,1,10,1,75,70,54,75
91,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/debug-js/debug,0.00196078431,0.99803921569,94401,417,733,944,1495,11206,65,80,73,139,1495,11206,2355,4818,0,4,30,30,30,30,30,30,30,0,30,30,65,80,70,15,85,30,1,1,10,1,75,65,54,80
92,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/immerjs/immer,0.00305810398,0.99694189602,94401,5838,733,852,1495,28030,65,53,73,155,1495,28030,2355,2595,0,0,30,30,30,30,30,30,30,30,30,75,65,85,70,45,85,20,1,1,10,10,75,75,54,80
93,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sindresorhus/type-fest,4.18e-05,0.9999582,94401,1957,733,574,1495,14816,65,162,73,52,1495,14816,2355,2157,0,0,30,30,30,30,30,30,30,0,30,45,65,70,70,30,85,20,1,1,10,1,75,70,54,50
95,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/marak/colors.js,8.58e-05,0.9999142,94401,380,733,449,1495,5178,65,90,73,53,1495,5178,2355,5354,0,0,30,0,30,30,30,30,30,0,30,10,65,1,70,5,85,20,1,1,10,1,75,10,54,75
96,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/axios/axios,0.00047709924,0.99952290076,94401,17726,733,11006,1495,106257,65,671,73,1186,1495,106257,2355,3824,0,0,30,30,30,30,30,30,30,0,30,77,65,75,70,30,85,65,1,1,10,50,75,85,54,56
98,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/motdotla/dotenv,0.03225806452,0.96774193548,94401,2391,733,867,1495,19448,65,6,73,109,1495,19448,2355,4233,0,0,30,0,30,30,30,30,30,0,30,10,65,75,70,15,85,10,1,1,10,1,75,65,54,54
99,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/streetsidesoftware/cspell,0.05555555556,0.94444444444,94401,264026,733,103,1495,1313,65,104,73,14,1495,1313,2355,2943,0,0,30,30,30,30,30,30,30,30,30,10,65,75,70,20,85,10,1,1,10,1,75,30,54,51
100,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/eslint/eslint,1.65e-05,0.9999835,94401,43662,733,4638,1495,25523,65,96,73,316,1495,25523,2355,4239,0,0,30,30,30,30,30,30,30,0,30,77,65,75,70,70,85,45,1,1,10,1,75,85,54,49
101,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/floating-ui/floating-ui,0.0004428698,0.9995571302,94401,39906,733,1628,1495,30606,65,40,73,257,1495,30606,2355,3235,0,0,30,30,30,30,30,30,30,30,30,30,65,75,70,45,85,60,1,1,10,1,75,70,54,50
102,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/boa-dev/boa,0.1666666667,0.8333333333,94401,54842,733,414,1495,5402,65,126,73,47,1495,5402,2355,2373,0,0,30,25,30,30,30,30,30,30,30,10,65,65,70,45,85,55,1,1,10,1,75,70,54,50
104,https://github.com/nomicfoundation/hardhat,https://github.com/ethers-io/ethers.js,0.28480116486,0.71519883514,193759,157522,1479,1926,7481,8094,534,570,76,103,7481,8094,2489,3127,0,0,30,30,30,30,30,1,30,30,55,75,75,75,75,60,85,85,25,75,25,75,75,75,74,59
106,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/solidity,0.6993667338,0.3006332662,193759,78615,1479,5960,7481,23829,534,551,76,733,7481,23829,2489,3460,0,0,30,30,30,30,30,30,30,0,55,85,75,85,75,75,85,85,25,75,25,75,75,75,74,53
107,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/remix-project,0.7649700751,0.2350299249,193759,251423,1479,1082,7481,2574,534,826,76,68,7481,2574,2489,1784,0,0,30,30,30,30,30,30,30,30,55,10,75,65,75,45,85,75,25,1,25,25,75,75,74,53
108,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/go-ethereum,0.49585948913,0.50414051087,193759,216618,1479,20515,7481,48264,534,283,76,2208,7481,48264,2489,4059,0,0,30,30,30,30,30,30,30,30,55,100,75,85,75,77,85,95,25,100,25,100,75,90,74,49
111,https://github.com/nomicfoundation/hardhat,https://github.com/libp2p/go-libp2p,0.4845363167,0.5154636833,193759,59206,1479,1107,7481,6214,534,274,76,180,7481,6214,2489,3416,0,0,30,30,30,30,30,30,30,0,55,10,75,75,75,40,85,60,25,1,25,30,75,75,74,54
113,https://github.com/nomicfoundation/hardhat,https://github.com/crate-crypto/go-ipa,0.8493974652,0.1506025348,193759,360,1479,14,7481,33,534,10,76,3,7481,33,2489,1211,0,58,30,0,30,30,30,3,30,15,55,10,75,35,75,5,85,60,25,1,25,1,75,40,74,78
114,https://github.com/nomicfoundation/hardhat,https://github.com/eth-infinitism/account-abstraction,0.5300752306,0.4699247694,193759,3264,1479,681,7481,1601,534,5,76,40,7481,1601,2489,1108,0,1,30,4,30,30,30,24,30,0,55,10,75,65,75,35,85,60,25,1,25,1,75,75,74,55
115,https://github.com/nomicfoundation/hardhat,https://github.com/ipfs/js-ipfs,0.5537315632,0.4462684368,193759,55948,1479,1251,7481,7439,534,0,76,224,7481,7439,2489,3905,0,3,30,30,30,30,30,30,30,30,55,10,75,65,75,70,85,75,25,1,25,20,75,75,74,50
116,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.20776396241,0.79223603759,12410,157522,824,1926,4972,8094,498,570,158,103,4972,8094,3009,3127,1,0,30,30,30,30,30,1,15,30,10,75,65,75,45,60,70,85,1,75,35,75,70,75,50,59
117,https://github.com/vyperlang/vyper,https://github.com/prysmaticlabs/prysm,0.18678012109,0.81321987891,12410,166982,824,1063,4972,3511,498,303,158,128,4972,3511,3009,2582,1,0,30,30,30,30,30,30,15,0,10,75,65,75,45,70,70,85,1,1,35,45,70,75,50,51
118,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.24608728415,0.75391271585,12410,132460,824,800,4972,3056,498,455,158,69,4972,3056,3009,2407,1,0,30,30,30,30,30,30,15,30,10,10,65,75,45,65,70,85,1,1,35,35,70,80,50,50
119,https://github.com/vyperlang/vyper,https://github.com/nomicfoundation/hardhat,0.3782903152,0.6217096848,12410,193759,824,1479,4972,7481,498,534,158,76,4972,7481,3009,2489,1,0,30,30,30,30,30,30,15,30,10,55,65,75,45,75,70,85,1,25,35,25,70,75,50,74
120,https://github.com/vyperlang/vyper,https://github.com/consensys/teku,0.84809609247,0.15190390753,12410,542992,824,306,4972,692,498,149,158,33,4972,692,3009,2344,1,0,30,30,30,30,30,30,15,30,10,10,65,65,45,70,70,85,1,1,35,1,70,70,50,50
122,https://github.com/vyperlang/vyper,https://github.com/ethereum/solidity,0.531332071,0.468667929,12410,78615,824,5960,4972,23829,498,551,158,733,4972,23829,3009,3460,1,0,30,30,30,30,30,30,15,0,10,85,65,85,45,75,70,85,1,75,35,75,70,75,50,53
123,https://github.com/vyperlang/vyper,https://github.com/ethereum/remix-project,0.65708932123,0.34291067877,12410,251423,824,1082,4972,2574,498,826,158,68,4972,2574,3009,1784,1,0,30,30,30,30,30,30,15,30,10,10,65,65,45,45,70,75,1,1,35,25,70,75,50,53
124,https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,0.41713256666,0.58286743334,12410,216618,824,20515,4972,48264,498,283,158,2208,4972,48264,3009,4059,1,0,30,30,30,30,30,30,15,30,10,100,65,85,45,77,70,95,1,100,35,100,70,90,50,49
126,https://github.com/vyperlang/vyper,https://github.com/bluealloy/revm,0.73376048427,0.26623951573,12410,35704,824,616,4972,1748,498,69,158,29,4972,1748,3009,1226,1,0,30,30,30,30,30,30,15,30,10,10,65,35,45,1,70,60,1,1,35,1,70,30,50,75
127,https://github.com/vyperlang/vyper,https://github.com/openzeppelin/openzeppelin-contracts,0.54767223756,0.45232776244,12410,47771,824,11924,4972,25299,498,277,158,640,4972,25299,3009,3110,1,0,30,30,30,30,30,30,15,30,10,70,65,85,45,75,70,85,1,45,35,75,70,75,50,65
128,https://github.com/vyperlang/vyper,https://github.com/supranational/blst,0.7813397063,0.2186602937,12410,2052,824,180,4972,486,498,35,158,18,4972,486,3009,1689,1,7,30,15,30,30,30,22,15,0,10,10,65,70,45,35,70,75,1,1,35,1,70,75,50,52
129,https://github.com/vyperlang/vyper,https://github.com/status-im/nimbus-eth2,0.56845505407,0.43154494593,12410,63267,824,261,4972,561,498,204,158,36,4972,561,3009,2392,1,3,30,30,30,30,30,30,15,30,10,10,65,45,45,70,70,70,1,1,35,1,70,75,50,52
130,https://github.com/vyperlang/vyper,https://github.com/eth-infinitism/account-abstraction,0.53799804863,0.46200195137,12410,3264,824,681,4972,1601,498,5,158,40,4972,1601,3009,1108,1,1,30,4,30,30,30,24,15,0,10,10,65,65,45,35,70,60,1,1,35,1,70,75,50,55
131,https://github.com/vyperlang/vyper,https://github.com/protofire/solhint,0.89035390795,0.10964609205,12410,3297,824,172,4972,1055,498,26,158,21,4972,1055,3009,2670,1,11,30,30,30,30,30,30,15,30,10,10,65,65,45,5,70,72,1,1,35,1,70,65,50,75
132,https://github.com/vyperlang/vyper,https://github.com/safe-global/safe-smart-account,0.5306934579,0.4693065421,12410,8510,824,973,4972,1924,498,15,158,48,4972,1924,3009,2714,1,0,30,16,30,30,30,30,15,0,10,10,65,75,45,30,70,75,1,1,35,1,70,75,50,80
133,https://github.com/vyperlang/vyper,https://github.com/crate-crypto/go-ipa,0.8755513583,0.1244486417,12410,360,824,14,4972,33,498,10,158,3,4972,33,3009,1211,1,58,30,0,30,30,30,3,15,15,10,10,65,35,45,5,70,60,1,1,35,1,70,40,50,78
134,https://github.com/vyperlang/vyper,https://github.com/libp2p/go-libp2p,0.34707625655,0.65292374345,12410,59206,824,1107,4972,6214,498,274,158,180,4972,6214,3009,3416,1,0,30,30,30,30,30,30,15,0,10,10,65,75,45,40,70,60,1,1,35,30,70,75,50,54
