repo_url,languages,%
https://github.com/crate-crypto/go-ipa,Assembly,15.34
https://github.com/protofire/solhint,JavaScript,92.46
https://github.com/protofire/solhint,Solidity,7.35
https://github.com/safe-global/safe-smart-account,TypeScript,60.46
https://github.com/safe-global/safe-smart-account,Solidity,26.98
https://github.com/safe-global/safe-smart-account,Python,7.12
https://github.com/supranational/blst,Assembly,70.08
https://github.com/supranational/blst,C,13.65
https://github.com/supranational/blst,Go,5.46
https://github.com/eth-infinitism/account-abstraction,TypeScript,53.8
https://github.com/eth-infinitism/account-abstraction,Solidity,44.86
https://github.com/status-im/nimbus-eth2,Nim,95.21
https://github.com/biomejs/biome,Rust,85.67
https://github.com/biomejs/biome,JavaScript,8.41
https://github.com/fastify/fastify,JavaScript,91.11
https://github.com/fastify/fastify,TypeScript,8.84
https://github.com/servo/rust-smallvec,Rust,98.96
https://github.com/libp2p/go-libp2p,Go,99.51
https://github.com/paradigmxyz/reth,Rust,99.72
https://github.com/alloy-rs/core,Rust,93.13
https://github.com/alloy-rs/core,Solidity,5.91
https://github.com/web3/web3.js,TypeScript,96.11
https://github.com/ipfs/js-ipfs,JavaScript,96.15
https://github.com/ethereum/web3.py,Python,98.67
https://github.com/erigontech/erigon,Go,96.58
https://github.com/grandinetech/grandine,Rust,99.76
https://github.com/quic-go/quic-go,Go,99.79
https://github.com/ethereumjs/ethereumjs-monorepo,TypeScript,98.16
https://github.com/alexeyraspopov/picocolors,JavaScript,100.0
https://github.com/ethereum/solc-js,TypeScript,88.37
https://github.com/ethereum/solc-js,JavaScript,10.48
