size,forks_count,stars_count,open_issues_count,subscribers_count,watchers_count,age_days,days_since_update,releases_count,pull_requests_count,contributors_count,deployments_count,repo_url,grade_active,grade_code,grade_compl,grade_Eth,grade_fund,grade_market,grade_perspect,languages_score
10792,1570,28628,24,505,28628,4152,0,30,30,30,20,https://github.com/postcss/postcss,70,65,25,25,1,1,70,48
5446,298,1207,171,15,1207,1784,0,0,30,30,0,https://github.com/wighawag/hardhat-deploy,30,72,25,70,1,1,65,75
7514,362,3589,64,70,3589,4962,0,0,30,30,0,https://github.com/mozilla/source-map,10,1,50,35,1,1,70,48
39906,1628,30606,40,257,30606,3235,0,30,30,30,30,https://github.com/floating-ui/floating-ui,30,75,45,60,1,1,70,50
4371,720,13140,42,140,13140,3707,0,9,30,30,4,https://github.com/browserslist/browserslist,65,75,25,65,1,1,70,75
542992,306,692,149,33,692,2344,0,30,30,30,30,https://github.com/consensys/teku,10,65,70,85,1,1,70,50
63,108,849,14,12,849,3964,9,0,30,26,0,https://github.com/mattn/go-isatty,10,70,5,5,1,1,30,50
1268,1037,8824,211,89,8824,3664,0,30,30,30,0,https://github.com/node-fetch/node-fetch,20,65,30,25,1,3,70,50
19961,1074,14689,344,68,14689,3633,0,30,30,30,30,https://github.com/clap-rs/clap,10,75,35,60,1,1,75,50
4658,75,731,12,12,731,2458,2,30,30,21,0,https://github.com/prettier-solidity/prettier-plugin-solidity,30,70,10,70,1,1,70,72
119826,2732,41482,2070,555,41482,3305,0,30,30,30,5,https://github.com/yarnpkg/yarn,60,72,65,50,75,75,70,49
102,106,1934,34,14,1934,2792,1,14,30,12,0,https://github.com/epoberezkin/fast-deep-equal,10,65,20,30,1,1,50,73
4676,64,331,4,5,331,4772,1,18,30,21,30,https://github.com/fb55/entities,10,30,10,65,1,1,35,50
12008,736,8642,73,67,8642,3848,1,0,30,30,0,https://github.com/ljharb/qs,10,60,15,30,1,1,65,49
251423,1082,2574,826,68,2574,1784,0,30,30,30,30,https://github.com/ethereum/remix-project,10,65,45,75,1,25,75,53
78615,5960,23829,551,733,23829,3460,0,30,30,30,0,https://github.com/ethereum/solidity,85,85,75,85,75,75,75,53
216618,20515,48264,283,2208,48264,4059,0,30,30,30,30,https://github.com/ethereum/go-ethereum,100,85,77,95,100,100,90,49
1260,115,2449,30,15,2449,3747,0,0,30,30,0,https://github.com/rich-harris/magic-string,10,77,20,40,1,1,30,48
17726,11006,106257,671,1186,106257,3824,0,30,30,30,0,https://github.com/axios/axios,77,75,30,65,1,50,85,56
354253,2534,9165,211,215,9165,4908,0,30,30,30,1,https://github.com/webdriverio/webdriverio,70,75,75,25,10,1,70,69
14215,2549,27833,329,314,27833,3071,0,30,30,30,30,https://github.com/tokio-rs/tokio,75,75,65,75,65,70,75,72
20,30,119,0,3,119,3727,17,2,15,7,0,https://github.com/colorjs/color-name,10,20,10,30,1,1,30,66
153669,10412,28733,2180,598,28733,5259,0,30,30,30,30,https://github.com/numpy/numpy,77,77,75,15,85,1,75,80
23,1,6,3,1,6,1203,155,3,11,2,0,https://github.com/vweevers/module-error,10,30,10,25,1,1,30,75
13046,10,168,12,4,168,1337,15,15,30,5,0,https://github.com/brooooooklyn/snappy,10,20,12,30,1,1,30,53
3446,1246,30973,155,213,30973,1927,0,30,30,30,29,https://github.com/vercel/swr,77,77,25,30,1,5,75,53
115,36,305,23,8,305,2687,27,9,11,5,0,https://github.com/mysticatea/abort-controller,10,65,10,15,1,1,40,77
4281,1576,5630,577,37,5630,3616,0,30,30,30,0,https://github.com/import-js/eslint-plugin-import,10,75,25,70,1,1,65,44
146329,1622,8087,433,126,8087,4753,0,30,30,30,30,https://github.com/getsentry/sentry-javascript,30,85,45,30,1,1,70,53
111,7,32,1,2,32,2194,240,6,19,3,0,https://github.com/humanwhocodes/object-schema,10,65,20,25,1,1,65,72
366908,966,2727,9,29,2727,930,0,30,30,30,30,https://github.com/wevm/viem,10,70,15,65,1,1,70,70
264026,103,1313,104,14,1313,2943,0,30,30,30,30,https://github.com/streetsidesoftware/cspell,10,75,20,10,1,1,30,51
35704,616,1748,69,29,1748,1226,0,30,30,30,30,https://github.com/bluealloy/revm,10,35,1,60,1,1,30,75
399293,323,1237,259,33,1237,2420,0,30,30,30,30,https://github.com/chainsafe/lodestar,30,75,60,70,1,1,70,53
366166,18197,44494,3690,1111,44494,5280,0,30,30,30,0,https://github.com/pandas-dev/pandas,75,85,70,60,70,1,70,50
54842,414,5402,126,47,5402,2373,0,25,30,30,30,https://github.com/boa-dev/boa,10,65,45,55,1,1,70,50
10985,237,3721,29,43,3721,4342,0,30,30,30,30,https://github.com/inikulin/parse5,30,75,25,30,1,1,45,49
47771,11924,25299,277,640,25299,3110,0,30,30,30,30,https://github.com/openzeppelin/openzeppelin-contracts,70,85,75,85,45,75,75,65
3777,776,6354,66,75,6354,4875,0,0,30,30,12,https://github.com/nodeca/js-yaml,40,70,30,30,1,5,70,53
62445,1364,14378,24,131,14378,3940,0,30,30,30,27,https://github.com/formatjs/formatjs,30,75,40,10,1,1,70,79
309,182,2833,39,36,2833,3795,14,23,30,25,0,https://github.com/yahoo/serialize-javascript,10,45,15,45,1,1,30,62
321,27,140,1,5,140,2325,1,7,30,3,0,https://github.com/tklauser/go-sysconf,10,65,15,25,1,1,30,80
386,46,458,4,10,458,4176,6,14,30,18,0,https://github.com/kaelzhang/node-ignore,10,70,10,20,1,1,30,55
441,14,188,30,7,188,1833,38,4,30,2,0,https://github.com/mmcloughlin/addchain,10,45,15,35,1,1,60,43
20072,3292,23728,144,643,23728,3915,0,30,30,30,30,https://github.com/google/flatbuffers,10,80,55,65,1,45,75,54
40147,1260,13710,356,52,13710,1160,0,30,30,30,30,https://github.com/vitest-dev/vitest,50,75,30,65,10,1,70,75
360,14,33,10,3,33,1211,58,0,30,3,15,https://github.com/crate-crypto/go-ipa,10,35,5,60,1,1,40,78
3297,172,1055,26,21,1055,2670,11,30,30,30,30,https://github.com/protofire/solhint,10,65,5,72,1,1,65,75
8510,973,1924,15,48,1924,2714,0,16,30,30,0,https://github.com/safe-global/safe-smart-account,10,75,30,75,1,1,75,80
2052,180,486,35,18,486,1689,7,15,30,22,0,https://github.com/supranational/blst,10,70,35,75,1,1,75,52
3264,681,1601,5,40,1601,1108,1,4,30,24,0,https://github.com/eth-infinitism/account-abstraction,10,65,35,60,1,1,75,55
63267,261,561,204,36,561,2392,3,30,30,30,30,https://github.com/status-im/nimbus-eth2,10,45,70,70,1,1,75,52
211503,524,16829,229,52,16829,559,0,30,30,30,30,https://github.com/biomejs/biome,10,66,30,40,1,1,65,53
8811,2345,32941,88,300,32941,3052,0,30,30,30,0,https://github.com/fastify/fastify,75,75,70,60,1,1,85,50
670,147,1396,34,27,1396,3594,1,30,30,30,0,https://github.com/servo/rust-smallvec,10,70,30,20,1,1,30,70
59206,1107,6214,274,180,6214,3416,0,30,30,30,0,https://github.com/libp2p/go-libp2p,10,75,40,60,1,30,75,54
89125,1384,4295,286,59,4295,874,0,30,30,30,30,https://github.com/paradigmxyz/reth,10,65,65,60,1,1,65,53
3545,170,821,34,22,821,691,1,30,30,30,0,https://github.com/alloy-rs/core,10,75,35,65,1,1,70,52
137747,5027,19570,152,461,19570,3781,0,30,30,30,30,https://github.com/web3/web3.js,75,66,75,85,30,75,75,49
55948,1251,7439,0,224,7439,3905,3,30,30,30,30,https://github.com/ipfs/js-ipfs,10,65,70,75,1,20,75,50
31154,1757,5139,104,123,5139,3219,0,0,30,30,0,https://github.com/ethereum/web3.py,85,75,70,85,1,67,75,54
410799,1187,3261,381,65,3261,2082,0,30,30,30,30,https://github.com/erigontech/erigon,10,72,65,65,1,1,75,68
5584,34,186,36,6,186,1318,0,6,30,9,0,https://github.com/grandinetech/grandine,10,1,1,65,1,1,10,50
17101,1345,10375,193,218,10375,3227,0,30,30,30,0,https://github.com/quic-go/quic-go,10,75,35,40,1,1,75,50
92669,782,2631,146,63,2631,3498,2,30,30,30,30,https://github.com/ethereumjs/ethereumjs-monorepo,30,75,75,85,1,65,75,50
81,45,1459,11,11,1459,1228,0,7,30,12,0,https://github.com/alexeyraspopov/picocolors,10,30,10,50,1,1,25,49
734,481,1471,73,45,1471,3229,1,0,30,30,0,https://github.com/ethereum/solc-js,30,75,60,85,1,25,70,50
