id,project_a,project_b,weight_a,weight_b,project_a_age_days,project_a_days_since_update,project_a_forks,project_a_stars,project_a_open_issues,project_a_size,project_a_subscribers_count,project_a_forks_ratio,project_a_stars_ratio,project_a_size_ratio,project_b_age_days,project_b_days_since_update,project_b_forks,project_b_stars,project_b_open_issues,project_b_size,project_b_subscribers_count,project_b_forks_ratio,project_b_stars_ratio,project_b_size_ratio
38,https://github.com/sigp/lighthouse,https://github.com/ipfs/js-ipfs,0.70437322525,0.29562677475,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,3902,0,1252,7439,0,55948,224,0.16830219115472508,0.1329627511260456,0.02237792235647387
39,https://github.com/sigp/lighthouse,https://github.com/eth-infinitism/account-abstraction,0.57870404113,0.42129595887,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,1105,4,682,1600,6,3248,40,0.42625,0.49261083743842365,0.20997536945812809
40,https://github.com/sigp/lighthouse,https://github.com/safe-global/safe-smart-account,0.5804717868,0.4195282132,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,2711,0,971,1923,15,8510,48,0.5049401976079043,0.22596944770857813,0.11410105757931845
41,https://github.com/sigp/lighthouse,https://github.com/crate-crypto/go-ipa,0.8944563407,0.1055436593,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,1208,55,14,33,10,360,3,0.42424242424242425,0.09166666666666666,0.03888888888888889
42,https://github.com/sigp/lighthouse,https://github.com/libp2p/go-libp2p,0.3832259257,0.6167740743,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,3413,0,1105,6208,274,59167,180,0.17799613402061856,0.10492335254449271,0.018675951121402135
43,https://github.com/sigp/lighthouse,https://github.com/paradigmxyz/reth,0.56547080695,0.43452919305,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,871,0,1375,4292,281,89288,59,0.3203634669151911,0.04806916942926261,0.015399605770092285
47,https://github.com/sigp/lighthouse,https://github.com/erigontech/erigon,0.5,0.5,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,2079,0,1187,3258,376,410186,65,0.3643339472068754,0.007942738172438844,0.002893809149995368
48,https://github.com/sigp/lighthouse,https://github.com/grandinetech/grandine,0.5252782983,0.4747217017,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,1315,0,35,186,41,5499,6,0.1881720430107527,0.03382433169667212,0.006364793598836152
50,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prysmaticlabs/prysm,0.29435869392,0.70564130608,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516
51,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethers-io/ethers.js,0.33171687205,0.66828312795,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3124,0,1925,8087,569,157522,103,0.2380363546432546,0.05133886060359823,0.01222051522961872
54,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vyperlang/vyper,0.58751317499,0.41248682501,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898
55,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/consensys/teku,0.89823233521,0.10176766479,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2341,0,307,692,156,541074,33,0.4436416184971098,0.001278937816269124,0.0005673900427667934
56,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier-solidity/prettier-plugin-solidity,0.69208471138,0.30791528862,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948
58,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ethereum/remix-project,0.9999589272,4.10728e-05,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,1781,0,1076,2569,817,252626,68,0.4188400155702608,0.010169182902789103,0.004259260725341018
61,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/bluealloy/revm,0.00943396226,0.99056603774,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,1223,0,616,1744,68,35637,29,0.3532110091743119,0.04893790161910374,0.017285405617756825
62,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/jedisct1/go-minisign,0.00188679245,0.99811320755,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2577,42,12,113,1,83,5,0.10619469026548672,1.3614457831325302,0.14457831325301204
63,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/level/levelup,0.01098901099,0.98901098901,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4556,21,267,4085,0,5894,91,0.06536107711138311,0.6930777061418392,0.04530030539531727
65,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/prettier/prettier,0.00010790979,0.99989209021,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2987,0,4458,49875,1432,145124,420,0.08938345864661654,0.34367161875361757,0.030718557922879745
66,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sheetjs/js-crc32,0.02631578947,0.97368421053,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3884,23,37,345,2,22367,10,0.1072463768115942,0.015424509321768677,0.0016542227388563508
67,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pion/webrtc,0.0027700831,0.9972299169,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2452,0,1683,14218,92,5361,260,0.11837107891405262,2.6521171423241934,0.3139339675433688
69,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/postcss/postcss,0.00106269926,0.99893730074,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4149,0,1570,28625,24,10792,506,0.054847161572052404,2.652427724240178,0.1454781319495923
72,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/babel/babel,1.38e-05,0.9999862,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3780,0,5661,43385,785,122509,804,0.1304828857900196,0.3541372470593997,0.04620884996204361
73,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/vuejs/vue,5.14e-05,0.9999486,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4207,0,33718,208299,602,32152,5854,0.16187307668303735,6.4785705399353075,1.0487061458074147
75,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/ajv-validator/ajv,0.00041373604,0.99958626396,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3547,0,887,14027,284,37489,112,0.06323518927782135,0.37416308783909946,0.023660273680279547
76,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/cssnano/cssnano,0.0015128593,0.9984871407,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3582,1,319,4825,97,33702,50,0.0661139896373057,0.14316657765117796,0.009465313631238502
78,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/mochajs/mocha,0.00021463833,0.99978536167,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,5081,0,3012,22694,194,26733,398,0.1327223054551864,0.8489133280963603,0.112669734036584
79,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/go-task/slim-sprig,0.00366300366,0.99633699634,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2052,7,15,64,9,543,4,0.234375,0.11786372007366483,0.027624309392265192
80,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/tokio-rs/tokio,5.11e-05,0.9999489,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3068,0,2550,27815,329,14262,315,0.09167715261549524,1.950287477212172,0.1787968026924695
82,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/facebook/react,0.01315789474,0.98684210526,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4272,0,47467,231945,970,710916,6634,0.2046476535385544,0.3262621744341104,0.06676878843632722
83,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/node-fetch/node-fetch,0.00609756098,0.99390243902,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3661,3,1037,8824,211,1268,89,0.11752039891205802,6.958990536277603,0.8178233438485805
84,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/import-js/eslint-plugin-import,0.0027700831,0.9972299169,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3613,0,1576,5628,576,4281,37,0.28002842928216065,1.314646110721794,0.3681382854473254
85,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/chzyer/readline,0.1,0.9,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3423,12,281,2109,108,3576,41,0.13323850165955428,0.589765100671141,0.07857941834451902
86,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/pnpm/cmd-shim,0.00038211693,0.99961788307,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3108,594,11,14,7,805,5,0.7857142857142857,0.017391304347826087,0.013664596273291925
87,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/electron/electron,0.00111111111,0.99888888889,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4315,0,15779,115327,977,162468,2827,0.13681965194620513,0.7098444001280252,0.09712066376147918
90,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/browserslist/browserslist,0.00100401606,0.99899598394,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3704,0,720,13135,42,4360,140,0.05481537875904073,3.0126146788990824,0.1651376146788991
91,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/debug-js/debug,0.00196078431,0.99803921569,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4815,1,943,11206,80,417,139,0.08415134749241478,26.872901678657076,2.261390887290168
92,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/immerjs/immer,0.00305810398,0.99694189602,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2593,0,852,28023,53,5838,155,0.030403597045284232,4.800102774922919,0.1459403905447071
93,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/sindresorhus/type-fest,4.18e-05,0.9999582,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2154,0,572,14805,163,1957,52,0.03863559608240459,7.565150740929995,0.2922841083290751
95,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/marak/colors.js,8.58e-05,0.9999142,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,5351,4,450,5177,90,380,53,0.08692292833687464,13.623684210526315,1.1842105263157894
96,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/axios/axios,0.00047709924,0.99952290076,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3821,0,11002,106235,667,17726,1186,0.10356285593260225,5.993173868893152,0.6206702019632179
98,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/motdotla/dotenv,0.03225806452,0.96774193548,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4230,0,862,19434,5,2391,109,0.04435525367911907,8.12797992471769,0.3605186114596403
99,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/streetsidesoftware/cspell,0.05555555556,0.94444444444,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2940,0,103,1311,103,260845,14,0.07856598016781083,0.005025973279150453,0.0003948705169736817
100,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/eslint/eslint,1.65e-05,0.9999835,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,4236,0,4636,25515,93,43460,316,0.1816970409563002,0.5870915784629545,0.10667280257708238
101,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/floating-ui/floating-ui,0.0004428698,0.9995571302,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,3232,0,1629,30579,41,40383,257,0.05327185323261061,0.7572245746972736,0.04033875640739915
102,https://github.com/walletconnect/walletconnect-monorepo,https://github.com/boa-dev/boa,0.1666666667,0.8333333333,2352,1,733,1495,65,94117,73,0.4903010033444816,0.015884484205828914,0.007788178543727488,2370,0,413,5399,132,54641,47,0.07649564734210039,0.09880858695851101,0.0075584268223495175
104,https://github.com/nomicfoundation/hardhat,https://github.com/ethers-io/ethers.js,0.28480116486,0.71519883514,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,3124,0,1925,8087,569,157522,103,0.2380363546432546,0.05133886060359823,0.01222051522961872
106,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/solidity,0.6993667338,0.3006332662,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,3458,0,5947,23809,552,78321,732,0.24977949514889328,0.30399254350685,0.07593110404616897
107,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/remix-project,0.7649700751,0.2350299249,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,1781,0,1076,2569,817,252626,68,0.4188400155702608,0.010169182902789103,0.004259260725341018
108,https://github.com/nomicfoundation/hardhat,https://github.com/ethereum/go-ethereum,0.49585948913,0.50414051087,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,4056,0,20497,48249,298,205691,2210,0.4248170946548115,0.23457030205502427,0.09964947421131698
111,https://github.com/nomicfoundation/hardhat,https://github.com/libp2p/go-libp2p,0.4845363167,0.5154636833,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,3413,0,1105,6208,274,59167,180,0.17799613402061856,0.10492335254449271,0.018675951121402135
113,https://github.com/nomicfoundation/hardhat,https://github.com/crate-crypto/go-ipa,0.8493974652,0.1506025348,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,1208,55,14,33,10,360,3,0.42424242424242425,0.09166666666666666,0.03888888888888889
114,https://github.com/nomicfoundation/hardhat,https://github.com/eth-infinitism/account-abstraction,0.5300752306,0.4699247694,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,1105,4,682,1600,6,3248,40,0.42625,0.49261083743842365,0.20997536945812809
115,https://github.com/nomicfoundation/hardhat,https://github.com/ipfs/js-ipfs,0.5537315632,0.4462684368,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362,3902,0,1252,7439,0,55948,224,0.16830219115472508,0.1329627511260456,0.02237792235647387
116,https://github.com/vyperlang/vyper,https://github.com/ethers-io/ethers.js,0.20776396241,0.79223603759,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3124,0,1925,8087,569,157522,103,0.2380363546432546,0.05133886060359823,0.01222051522961872
117,https://github.com/vyperlang/vyper,https://github.com/prysmaticlabs/prysm,0.18678012109,0.81321987891,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516
118,https://github.com/vyperlang/vyper,https://github.com/sigp/lighthouse,0.24608728415,0.75391271585,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155
119,https://github.com/vyperlang/vyper,https://github.com/nomicfoundation/hardhat,0.3782903152,0.6217096848,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2486,0,1476,7477,533,194084,76,0.19740537648789622,0.03852455637765091,0.007604954555759362
120,https://github.com/vyperlang/vyper,https://github.com/consensys/teku,0.84809609247,0.15190390753,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2341,0,307,692,156,541074,33,0.4436416184971098,0.001278937816269124,0.0005673900427667934
122,https://github.com/vyperlang/vyper,https://github.com/ethereum/solidity,0.531332071,0.468667929,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3458,0,5947,23809,552,78321,732,0.24977949514889328,0.30399254350685,0.07593110404616897
123,https://github.com/vyperlang/vyper,https://github.com/ethereum/remix-project,0.65708932123,0.34291067877,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,1781,0,1076,2569,817,252626,68,0.4188400155702608,0.010169182902789103,0.004259260725341018
124,https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,0.41713256666,0.58286743334,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,4056,0,20497,48249,298,205691,2210,0.4248170946548115,0.23457030205502427,0.09964947421131698
126,https://github.com/vyperlang/vyper,https://github.com/bluealloy/revm,0.73376048427,0.26623951573,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,1223,0,616,1744,68,35637,29,0.3532110091743119,0.04893790161910374,0.017285405617756825
127,https://github.com/vyperlang/vyper,https://github.com/openzeppelin/openzeppelin-contracts,0.54767223756,0.45232776244,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3107,0,11914,25283,284,47704,640,0.471225724795317,0.529997484487674,0.24974844876739896
128,https://github.com/vyperlang/vyper,https://github.com/supranational/blst,0.7813397063,0.2186602937,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,1686,5,180,486,35,2052,18,0.37037037037037035,0.23684210526315788,0.08771929824561403
129,https://github.com/vyperlang/vyper,https://github.com/status-im/nimbus-eth2,0.56845505407,0.43154494593,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2389,0,259,561,204,64119,36,0.46167557932263814,0.008749356664951106,0.004039364306991687
130,https://github.com/vyperlang/vyper,https://github.com/eth-infinitism/account-abstraction,0.53799804863,0.46200195137,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,1105,4,682,1600,6,3248,40,0.42625,0.49261083743842365,0.20997536945812809
131,https://github.com/vyperlang/vyper,https://github.com/protofire/solhint,0.89035390795,0.10964609205,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2667,8,172,1055,26,3297,21,0.16303317535545023,0.3199878677585684,0.052168638155899304
132,https://github.com/vyperlang/vyper,https://github.com/safe-global/safe-smart-account,0.5306934579,0.4693065421,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,2711,0,971,1923,15,8510,48,0.5049401976079043,0.22596944770857813,0.11410105757931845
133,https://github.com/vyperlang/vyper,https://github.com/crate-crypto/go-ipa,0.8755513583,0.1244486417,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,1208,55,14,33,10,360,3,0.42424242424242425,0.09166666666666666,0.03888888888888889
134,https://github.com/vyperlang/vyper,https://github.com/libp2p/go-libp2p,0.34707625655,0.65292374345,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3413,0,1105,6208,274,59167,180,0.17799613402061856,0.10492335254449271,0.018675951121402135
137,https://github.com/vyperlang/vyper,https://github.com/ipfs/js-ipfs,0.5238102409,0.4761897591,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3902,0,1252,7439,0,55948,224,0.16830219115472508,0.1329627511260456,0.02237792235647387
138,https://github.com/vyperlang/vyper,https://github.com/ethereumjs/ethereumjs-monorepo,0.4935990019,0.5064009981,3006,0,823,4966,497,12410,158,0.1657269432138542,0.4001611603545528,0.06631748589846898,3495,0,783,2631,144,91400,63,0.2976054732041049,0.028785557986870897,0.008566739606126915
